+------------------------------------+----------+------------------+------------------+---------------------+
|antecedent                          |consequent|confidence        |lift              |support              |
+------------------------------------+----------+------------------+------------------+---------------------+
|[1004873, 1004836, 1004833]         |[1004767] |0.7222222222222222|18.040679768589417|1.195471920203782E-4 |
|[1004873, 1004836, 1004833]         |[1004856] |0.7037037037037037|13.05264742796014 |1.1648187940447106E-4|
|[1002544, 1004833, 1004767]         |[1004856] |0.7               |12.983949283602454|3.0040063635889904E-4|
|[1004750, 1005100, 1004856]         |[1004833] |0.7078651685393258|30.42523870853133 |1.931146948021494E-4 |
|[1004836, 1002544, 1004767, 1004856]|[1004833] |0.8181818181818182|35.16683435141933 |1.103512541726568E-4 |
|[1005169, 1005100, 1004767]         |[1004856] |0.74              |13.725889242665453|1.1341656678856393E-4|
|[1004873, 1002544, 1004833, 1004856]|[1004767] |0.9705882352941176|24.24471444014053 |1.0115531632493539E-4|
|[1002544, 1004833, 1005115, 1004767]|[1004856] |0.8235294117647058|15.275234451297006|1.287431298680996E-4 |
|[1002544, 1004870, 1004856]         |[1004767] |0.7471264367816092|18.662772174402846|1.9924532003396365E-4|
|[1004209, 1004833, 1004767]         |[1004856] |0.8484848484848485|15.738120343760553|1.7165750649079947E-4|
|[1002524, 1004833, 1004856]         |[1004767] |0.7142857142857143|17.84243054036316 |1.0728594155674967E-4|
|[1004873, 1002544, 1004870]         |[1004767] |0.7692307692307693|19.214925197314173|1.2261250463628534E-4|
|[1004750, 1004836, 1004767, 1004856]|[1004833] |0.796875          |34.25103137351779 |1.5633094341126378E-4|
|[1004858, 1005100, 1004833]         |[1004856] |0.88              |16.322679099385944|1.3487375509991386E-4|
|[1004209, 1005100, 1004767]         |[1004856] |0.8974358974358975|16.646088825131354|1.0728594155674967E-4|
|[1004836, 1005100, 1004767, 1004856]|[1004833] |0.796875          |34.25103137351779 |1.5633094341126378E-4|
|[1004873, 1004833, 1005115]         |[1004767] |0.8863636363636364|22.14083426145065 |1.195471920203782E-4 |
|[1004750, 1002544, 1004833]         |[1004767] |0.7551020408163265|18.861997999812484|1.1341656678856393E-4|
|[1002544, 1004870, 1004833]         |[1004767] |0.8181818181818182|20.437693164415986|1.931146948021494E-4 |
|[1004873, 1004836, 1004767, 1004856]|[1004833] |0.7333333333333333|31.51990338164251 |1.0115531632493539E-4|
+------------------------------------+----------+------------------+------------------+---------------------+
