event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-01 02:37:55 UTC,view,15100100,2053013557024391671,"","",437.33,526926727,b85163ef-edac-4511-8e05-cb038cf6b879
2019-10-01 03:46:03 UTC,view,28717896,2053013565639492569,apparel.shoes,"",132.56,526013663,ded8afed-eaf3-47ce-acfa-27f9f6cd80ea
2019-10-01 03:50:32 UTC,view,1004856,2053013555631882655,electronics.smartphone,samsung,130.76,525178016,86dd68e4-d443-4d5d-8ce1-beac98cbab5e
2019-10-01 04:17:54 UTC,view,9101406,2053013552888807671,computers.peripherals.mouse,rapoo,45.05,513204829,7a63e754-f1f5-4147-bde8-3de228df0725
2019-10-01 04:21:02 UTC,view,1004288,2053013555631882655,electronics.smartphone,bq,74.03,549671507,aa728eb4-ae9f-4a82-a82b-d754ad38db45
2019-10-01 04:21:03 UTC,view,1005135,2053013555631882655,electronics.smartphone,apple,1747.79,516834857,8acaa1b2-0d50-4f3f-a601-2749c3af9102
2019-10-01 04:21:05 UTC,view,12718925,2053013553559896355,"",triangle,52.12,521382741,5fa34af8-8b5a-435c-8441-2c2f43025902
2019-10-01 04:36:54 UTC,view,26000411,2053013562837697343,"","",7.81,527596778,24a54a09-3dad-476a-9b6a-ee5bc2cc6b8d
2019-10-01 04:37:33 UTC,view,12300411,2053013556311359947,construction.tools.drill,"",24.94,513594835,d9a86214-b3b1-4704-80e1-309dfb9e6fa9
2019-10-01 05:07:24 UTC,view,1004359,2053013555631882655,electronics.smartphone,apple,1763.98,551955271,6ab7f965-684d-46bd-968e-b72b6dc4602c
2019-10-01 05:17:09 UTC,view,1003050,2053013555631882655,electronics.smartphone,samsung,617.52,555494416,cdb37e42-242d-4066-ac4f-2aedc4270c9a
2019-10-01 05:21:31 UTC,view,1003304,2053013555631882655,electronics.smartphone,apple,571.56,514809306,91ec1271-43e9-4b0d-95e3-eb279d6f56b5
2019-10-01 05:24:09 UTC,view,26403151,2053013563651392361,"",sokolov,24.45,540547824,573e5852-f487-4679-9fcc-02418f6b0cc7
2019-10-01 05:25:12 UTC,view,28717134,2053013565748544479,apparel.shoes,respect,66.67,551406705,4529f353-9287-400b-a9e9-6d0afba5b5bb
2019-10-01 05:29:18 UTC,view,1801991,2053013554415534427,electronics.video.tv,irbis,100.39,518076983,e1411037-4fdf-45c3-bfa8-ba98c4f4acd6
2019-10-01 05:37:02 UTC,view,28000003,2053013563483620193,"",vega,38.61,555495322,b97cbb7e-eeab-48f8-816b-b2060980cd4b
2019-10-01 05:42:10 UTC,view,1004250,2053013555631882655,electronics.smartphone,apple,804.21,526557021,e83236af-c718-48d9-be8a-788958df7161
2019-10-01 05:56:47 UTC,view,19200039,2053013556202308035,construction.tools.saw,eurolux,64.35,517540956,61719435-60a7-40e9-8695-174a3e81a894
2019-10-01 06:06:28 UTC,view,6200848,2053013552293216471,appliances.environment.air_heater,"",88.42,518530353,09f162cf-2dce-45e3-83c7-f5ad1fb8d9ca
2019-10-01 06:30:17 UTC,view,10201162,2053013553224352013,kids.dolls,nella,16.47,512867411,30baf1af-4214-42a2-96e4-8a2ef5532928
2019-10-01 06:39:59 UTC,view,2701639,2053013563911439225,appliances.kitchen.refrigerators,indesit,257.15,552014471,0eda24f8-7625-4811-93a1-6e14643994b2
2019-10-01 06:46:58 UTC,view,2501495,2053013564003713919,appliances.kitchen.oven,artel,55.65,515854830,a18a415a-fc5c-466a-a2bd-0f5219c1d9d8
2019-10-01 06:50:52 UTC,view,4600551,2053013563944993659,appliances.kitchen.dishwasher,beko,324.04,541543565,361651e0-6dd2-477c-aca2-4d84fada3dca
2019-10-01 06:59:03 UTC,view,7600128,2053013552821698803,"",tp-link,20.57,521197561,a3c467c2-59a3-427b-b8eb-ead0f4ddd9f3
2019-10-01 06:59:16 UTC,view,1002544,2053013555631882655,electronics.smartphone,apple,464.08,553365775,8ba1eaa2-3d1a-46c2-bcce-9b3b63c52555
